cleaned_content,sentiment_label
terlalu terlalu terlalu apk yg tidak bisa di percaya kuota cepat abis minta update terus tp bug tmbah banyak hp jd lelet  kok bisa nyuri data pribadi ya diliat dari apk yg terus berjln dilatar belakang dan terus mengirim data tp g tau data ap yg dikirim  wah wah wah bahaya bobol bisa atm wkwkwk,negatif
gak usah pasang tarif tarif hemat soalnya para driver nya gak ada yang mau ambil orderan dengan alasan gak sesuai dengan harga dan bahasa mereka merendahkan costumer karena pesen yg paket hemat trs knp di adain paket hemat yg salah yg punya aplikasi lah pengen kasih promo tapi para driver nya gak mau,negatif
saya biasanya soal makanan lebih sering order lewat online nah saya mencoba order lewat go food tidak pernah mendapatkan penganlaman yang baik contoh driver selalu cemberut eksprewi wajah seperti orang yang menantang yang kedua beberapa kali saya order dengan pembayan tunai pasti mereka tidak punya kembalian padahal mereka tanpa mengecek dompet atau saku nya karna kembalianya itu lumayan kadang rp  rp bahkan pernah hampir  ribu,negatif
update aplikasinya malah menyusahkan pesan dari rumah ke stasiun biasanya dulu bisa pakai goride biasa atau goride confort untuk gotransit skrg disetting langsung goride hemat jelas beda waktu tunggu dan kualitas motor drivernya bukan mempermudah malah mempersulit pelanggan,negatif
ongkir mahal pajak aplikasi gede biaya aplikasi juga gede  jarang ada voucher gratis ongkir padahal pengguna lama durasi pesan antar bisa ampai sejam gak bisa dicancel giliran detikdetik terakhir berharap cancel otomatis malah nyantol driver padahal udah ada opsi lain busuk,negatif
pas butuh malah nggak bisa di setting lokasi udah pake map tinggal ngikut settingan map yang kita pilih malah pake ada kata kata lokasi tidak bisa di settinggilaaakk maunya apasih suruh setting sendiri malah kagak bisaa lah gmna mo pesen coba,negatif
saya pernah pesan gocar comfort dengan harga yang jauh lebih mahal dari yang biasanya namun saat datang malah mobilnya seperti mobil biasa tidak ada unsur comfortnya yang seharusnya fitur comfort lebih bagus mobilnya tolong gojek kebijakannya dalam memilih mobil tersebut cocok di fitur comfort atau tidak,negatif
benar membantu cuma kadang apknya suka error padahal pencarian buat memesan sudah di batalkan tapi kadang ada driver yang menerima pesanannya dan harus di batalkan pesenannya saya nggak enak sama drivernya udah jauh mau jemput malahan di batalkan,positif
mohon untuk dilakukan perbaikan sistem training dan sop lebih baik lagi beberapa kali saya mendapat pengalaman mengecewakan selama menggunakan aplikasi tetapi tidak sampai hati memberi rating yang rendah kepada driver yang kurang ramah dan tidak sesuai sop karena rating rendah justru membuat orderan sepi resto tutup tapi ditulis buka titik alamat salah gocargoride hemat sering ditolak karena kompensasi driver sangat kecil hemat untuk pembeli tapi menyulitkan driver,negatif
pesan gosend sampai  jam pertama pesan sudah dapat driver tapi gak gerakgerak dihubungi juga susah kedua sampai mencoba ganti driver lagi ternyata sama gak gerak dan susah dihubungi ketiga sampai dibatalkan beberapa kali garagara gak gerak dan susah dihubungi drivernya padahal jaraknya ada yang hanya  menit dari posisi si driver ke lokasi ke empat giliran udah dapat tetap aja lama sampai ke lokasinya padahal di aplikasi hanya kurang dari  menit total  jam bisa sampai selesai,negatif
maps error saat mau order gofood sudah input alamat dan titik yang sesuai eh pas driver mau nganter alamat nya malah berubah entah kemana cs slow respon pusat bantuan ribet udah dijelasin panjang lebar via chat malah nanya lagi via email cape dehhh ,negatif
pesan go food  jam lebih gada yg ambil kasian restoran nya udah nyiapin saya sampe order x karena penjualnya bilang suruh order ulang kalo ga dapet driver malah katanya kalo ga dapet lg mau dianter padahal lumayan jauh dan udah tengah malem buang buang waktu bgt serius lebih baik di ubah deh kebiasaan kaya gini menghubungi cs juga ga ngaruh apa apa tidak membantu sama sekali mau ngajuin keluhan tiba tiba chat di tutup sat bgt,negatif
aplikasi ngak jelas mau belanja di hypermat dan alfagift ngak bisa pakai gopaylater padahal selalu bayar tagihan awal gopaylater cuma bisa dipakai di tokopedia dan gojek itu sendiri padahal shopeepaylaterku bisa dipakai disemua aplikasi belanja beda banget dahh perusahan ngak mampu gaji customer service buat keluhan dan layanan pelanggan yah percuma loe kasih link support masa jawabanya karena akunku tidak terdaftar digopaylater padahal gue udah pakai gopaylater lebih dari  tahun,negatif
ini aplikasi jangan pake gopaynya gopaynya makan banyak biaya admin dompek digital lain dana  admint bukan promosi tapi efisiensi dengan pengalaman yang jauh lebih simple dan sederhana sering ngebug gopay makanya goto ambles aplikasi dalam negeri harusnya bisa lebih simple sudah sempat mau pesan tapi kena kendala tombol menunya yang gak jelas,negatif
kecewa berkali sama gojek pesen makan ga dapet dapet driver padahal tempat saya dan makanannya strategis dan tetap berkali kali ngga dapet driver padahal sudah coba pakai mode reguler dan mode cepat tapi tetap ga ada hasil tolong di tingkatkan lagi lah,negatif
terkadang iklan dengan kenyataan itu berbeda membuat ku berpikir mau diskon gedegedean pun harganya mentok  ribu ya itu cocok sih dan murah banget tapi untuk pelajar seperti ku  ribu cman buat gojek doangaku udh gk ada uang jajan lagi,positif
waktu tunggu kadang lama dan sangat telat harusnya customer bisa komplain tapi komplain di siapa gak bisa chat siapapun chat cs juga dikira cancel padahal bukan mau cancel tp konfirmasi kok lama sekali nunggu sudah sejam lebih bikin badmood maaf tapi cs sama sekali tidak membantu dan fyi setelah nunggu  jam lebih dibatalkan sepihak sama penjualnya karena gak dapat driver buang waktu  gak pernah sesebel ini sama gofood,negatif
pesan makan udh sejam tp gaada driver yang mau ambil padahal metode pembayaran udah reguler loh tindak lanjuti lah masalah driver yang suka skip orderan itu menyebalkan sekali buang buang waktu banget semuanya lelet dan menyebalkan masalahnya ini gak sekali dua kali aja terjadi sesering itu saya pesan makan di jam  baru sampe ke rumah di jam an,negatif
respon bantuan ma cs nya jelek org ada masalah transaksi ma driver tak dibantu sama sekali malah nguntungin driver yg nipu saya edit  barusann langsung respon lalu kasi retur sesuai dengan jumlahnya jadi lebih baik saat ini terima kasih atas tanggapannya gojek,positif
 interface jelek no two way communication dengan resto sehingga sangat susah untuk mengurus pergantian bbrp resto juga tidak dapat dihubungi  sangat susah untuk memberi feedback dan meminta bantuan ke cs gojek nya terutama saat terjadi kesalahan di pemesanan cs hanya kirim pesan tidak penting seolah olah tidak benar benar diurus  paling tidak kalau memang susah u meminta bantuan dipermudah dari kami u cancel dan pesan ulang masa waktu untuk cancel hanya  detik lalu tidak bisa lg,negatif
tolong perbaiki lagi sistem goofood nya soalnya udah nunggu lama lama lebih dari  jam harusnya bisa dicancel tapi ini kenapa ngga bisa dicancel kasihan orang yaang sudah nungguin lama harusnya bisa di cancel untuk dari lagi malah gabisa aneh emang,negatif
aplikasi yg sangat membantu permudah transaksi apapun dgn riwayat pengeluaranpemasukkan yg terinci setiap bulannya mohon utk top up ke e money bisa diberikan jaminan bila kita sdh terkirim tapi di e money belum masuk berarti kita yg dirugikan mestinya bisa diretur kembali spt bila kita transaksi di tokopedia bila ada pembatalan dr pemesan ataupun pihak penjual nya itu saja koreksi dr kami,positif
aplikasi rribet ini aplikasi yg sangat menjengkelkan saya mau pindahin app gojek saya kehp baru ga bisa terus sudah sebulan lebih ga bisa minta scan wajah trus shari cuma x scan ga bisa masuk dan ga bisa pindahin aturan tinggal masuk pake kode otp aja nyusahin orang kalo bukan krna ada banyak saldo dan saya butuh akun gojek saya untuk meredeem hadiah karna sudah terdaftar dari no hp saya no hp saya resmi ya dftr pake kk jg dan hp lama saya rusak dan retak layarnya hitam diatas,negatif
hanya mau protes aja pliss kalian itu udah dapat dr internet dr customer dr mitra yg kalian potong gak kira artinya aplikasi ini emang banyak penggunanya kalo misal ada penurunan pemakaian ya diperbaiki sistemnya dan pelayanannya asli iklan gojek ini nongol diaplikasi lain dgn sangat mengganggu sekali sangat sering dan berulangulang dalam sekali tayang harus klik tanda silang  kali bahkan durasinya jg lama sangat mengganggu sekali tolong ngiklan yg ngotak dong,negatif
ga pernah bisa  percaya dgn map nya gojek walaupun sudah di setting rumah sudah di setting pin poin pakai koordinat walaupun hidup gps map ny ga sepintar map nya grab yang titik  sesuai dgn ekspektasi sebagai pengguna disuruh cek and recheck yang mana ya ga efektif kalau buru buru berkali kali pesan goride ujung disuruh jalan sm mitra karena titik berbeda padahal sudah percaya dgn mapnya dan pasang pin poin tolong diperbaiki ya lokasi jemput  antar mu tidak pernah akurat,negatif
banyak banget jenis pengiriman kalau gak pilih yang express kadang batal pesanannya padahal udah nunggu  jam gak semua konsumen mau pakai yang express tapi kalau gak pakai yang express kadang pesanan dibatalkan secara sepihak atau sampainya lama banget,negatif
aplikasi sebenernya bagus cuma kurang suka aja sama sistem deliverynya aja udah disuruh tunggu  jam ga ada progress gabisa di cancel dr customer ditungguin lebih lama lg tiba di cancel dari gojeknya krn ga dapet driver gada kompensasi apapun buang buang waktu,negatif
kalau ketentuan untuk semua gocar bisa diterapkan kyk peraturan bluebirdkurang lebih atau bahkan bisa jauh lebih bagus mulai dari driver nya diseleksi lebih baik dari ketentuan dan keamanan kaca kendaraan lebih baik tidak boleh gelap kebersihan dan keterawatan kendaraan dan sebagainya sampai saat ini setiap kali pakai gocar masih kadang dapet yang gak worth it dengan hargaamannya dan nyamannya kalau bisa di setiap perjalanan pakai gocar bisa selalu nyaman aman  hematdriver tau jalan,negatif
sebenernya bagus tapi semakin kesini semakin susah cari driver status pesanan ngegantung berjam jam ga bisa dicancel ditungguin pun tidak kunjung dapat driver sebenernya kekurangan driver atau gimana sih udah lama seperti ini tp tidak ada perbaikan,negatif
